depth_nm,initial_concentration_cm3,final_concentration_cm3
1263.75,4.126049261089571e-81,9.09732887680241e-20
1266.25,1.4223641104393658e-81,6.28674188202689e-20
1268.75,4.891042381689642e-82,4.3417150044187733e-20
1271.25,1.6776691959752927e-82,2.996549522390117e-20
1273.75,5.7401798337014366e-83,2.066838707235668e-20
1276.25,1.9591104922662982e-83,1.4246796079549408e-20
1278.75,6.669705011234893e-84,9.814175942153322e-21
1281.25,2.2650019791871627e-84,6.756425533732202e-21
1283.75,7.672639780644589e-85,4.6484395431494196e-21
1286.25,2.592598684406605e-85,3.1961336382867083e-21
1288.75,8.738563516121008e-86,2.1961941792637803e-21
1291.2500000000002,2.9380491854235276e-86,1.5081520119125824e-21
1293.75,9.85354128340859e-87,1.0350196297863785e-21
1296.25,3.2963998280033927e-87,7.09874627100295e-22
1298.75,1.1000228053546915e-87,4.865694409488533e-22
1301.25,3.6616578331100947e-88,3.3330254102187106e-22
1303.75,1.2158166667766994e-88,2.281726301217842e-22
1306.25,4.0269171084764226e-89,1.56106184960014e-22
1308.75,1.3304285358182378e-89,1.0673548269791526e-22
1311.25,4.384546460490375e-90,7.293402494532586e-23
1313.7500000000002,1.441358671624294e-90,4.9806348850345797e-23
1316.25,4.7264353080001647e-91,3.399170116663786e-23
1318.75,1.546000515654374e-91,2.3184368422250324e-23
1321.25,5.0442873073486306e-92,1.580346505621019e-23
1323.75,1.641739543089433e-92,1.0765756637139528e-23
1326.25,5.329947934237542e-93,7.329468583203398e-24
1328.75,1.7260601988089566e-93,4.986968360958293e-24
1331.25,5.575748468020852e-94,3.391075333042345e-24
1333.75,1.7966549280676423e-94,2.3044933824960137e-24
1336.2500000000002,5.774846382853295e-95,1.5651328191466098e-24
1338.75,1.8515287619999837e-95,1.0623439241252397e-24
1341.25,5.921541175275614e-96,7.206390421166373e-25
1343.75,1.8890928658193003e-96,4.885507064725715e-25
1346.25,6.011545328309591e-97,3.3101007591420257e-25
1348.75,1.908240935784538e-97,2.2413670935076678e-25
1351.25,6.04219245103657e-98,1.5167900737894193e-25
1353.75,1.908403320628024e-98,1.0258389182173877e-25
1356.25,6.012568496153425e-99,6.933852033202378e-26
1358.7500000000002,1.8895751730820323e-99,4.68394913650197e-26
1361.25,5.923557045000929e-100,3.162222832268891e-26
1363.75,1.8523166902355468e-100,2.1336145529489515e-26
1366.25,5.777795529457943e-101,1.4387427572703648e-26
1368.75,1.797725426087238e-101,9.696042743039338e-27
1371.25,5.5795454172987805e-102,6.53056222742352e-27
1373.75,1.7273825857826105e-102,4.3959404056620664e-27
1376.25,5.334485276722635e-103,2.9573224953150863e-27
